company_name,market_share,price,marginal_cost
Company_A,0.045694426748619434,10.823379771832098,10.282210783240492
Company_B,0.2931070238257473,48.79639408647977,9.882285122821465
Company_C,0.12821655877611385,43.29770563201687,15.225062698732636
Company_D,0.08889670433647003,18.493564427131048,17.568886205774493
Company_E,0.01651702168470045,17.272998688284027,16.409348753869825
Company_F,0.016514238882323236,17.33618039413735,16.469371374430484
Company_G,0.005826729512018989,22.16968971838151,11.988582375542592
Company_H,0.19584123313407714,30.990257265289515,22.998205344476407
Company_I,0.08949454063018736,27.27780074568463,25.734509910171486
Company_J,0.1198915224697421,21.649165607921677,6.62576444519992
